onset	duration	sub	run_num	set	run_cond	stim_file_name	trial_num	type	block	img_cat	go_stim	signal	reqSSD	correct	response	response_time	trueSSD
36.8	0.5	sub-002	6	E	toy	go2_savory2.jpeg	363	fMRI	1	savory	2	0	0	4	2	0.496	0
37.3	0.5	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.8	0.6	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
38.4	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
38.9	0.5	sub-002	6	E	toy	go1_savory6.jpeg	364	fMRI	1	savory	1	0	0	4	1	0.498	0
39.4	0.5	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
39.9	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
40.4	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
40.9	0.3	sub-002	6	E	toy	go1_savory4.jpeg	365	fMRI	1	savory	1	1	250	3	1	0.603	254
41.2	0.8	sub-002	6	E	toy	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
42	2.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
44.5	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
45	0.6	sub-002	6	E	toy	go1_savory4.jpeg	366	fMRI	1	savory	1	0	0	4	1	0.578	0
45.6	0.4	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
46	2.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
48.5	0.6	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
49.1	0.5	sub-002	6	E	toy	go2_savory4.jpeg	367	fMRI	1	savory	2	0	0	4	2	0.484	0
49.6	0.5	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
50.1	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
50.6	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
51.1	0.7	sub-002	6	E	toy	go2_savory2.jpeg	368	fMRI	1	savory	2	0	0	4	2	0.615	0
51.8	0.3	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
52.1	0.6	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
52.7	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
53.2	0.2	sub-002	6	E	toy	go1_savory6.jpeg	369	fMRI	1	savory	1	1	200	3	1	0.476	204
53.4	0.8	sub-002	6	E	toy	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
54.2	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
54.7	0.6	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
55.3	0.5	sub-002	6	E	toy	go1_savory2.jpeg	370	fMRI	1	savory	1	0	0	4	1	0.543	0
55.8	0.5	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
56.3	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
56.8	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
57.3	0.9	sub-002	6	E	toy	go1_savory1.jpeg	371	fMRI	1	savory	1	0	0	4	1	0.923	0
58.2	0.1	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
58.3	4.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
62.8	0.6	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
63.4	0.6	sub-002	6	E	toy	go2_savory6.jpeg	372	fMRI	1	savory	2	0	0	4	2	0.614	0
64	0.4	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
64.4	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
64.9	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
65.4	0.2	sub-002	6	E	toy	go2_savory1.jpeg	373	fMRI	1	savory	2	1	150	4	0	n/a	154
65.6	0.8	sub-002	6	E	toy	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
66.4	2.6	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
69	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
69.5	0.6	sub-002	6	E	toy	go1_savory2.jpeg	374	fMRI	1	savory	1	0	0	4	1	0.638	0
70.1	0.4	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
70.5	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
71	0.6	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
71.6	0.2	sub-002	6	E	toy	go1_savory5.jpeg	375	fMRI	1	savory	1	1	200	3	1	0.533	204
71.8	0.8	sub-002	6	E	toy	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
72.6	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
73.1	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
73.6	0.6	sub-002	6	E	toy	go2_savory6.jpeg	376	fMRI	1	savory	2	0	0	4	2	0.542	0
74.2	0.4	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
74.6	0.6	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
75.2	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
75.7	0.5	sub-002	6	E	toy	go1_savory1.jpeg	377	fMRI	1	savory	1	0	0	4	1	0.552	0
76.2	0.5	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
76.7	2.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
79.2	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
79.7	0.5	sub-002	6	E	toy	go2_savory4.jpeg	378	fMRI	1	savory	2	0	0	4	2	0.491	0
80.2	0.5	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
80.7	4.6	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
85.3	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
85.8	0.6	sub-002	6	E	toy	go2_savory1.jpeg	379	fMRI	1	savory	2	0	0	4	2	0.596	0
86.4	0.4	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
86.8	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
87.3	0.6	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
87.9	0.6	sub-002	6	E	toy	go2_savory3.jpeg	380	fMRI	1	savory	2	0	0	4	2	0.615	0
88.5	0.4	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
88.9	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
89.4	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
89.9	0.5	sub-002	6	E	toy	go2_savory5.jpeg	381	fMRI	1	savory	2	0	0	4	2	0.422	0
90.4	0.5	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
